PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
4416;Gunnarsson, Arnor Thor;BHC, RW;0/0;-;0/0;-;0/0;-;1/2;50%;1/1;100%;0/0;-
4417;Reinkind, Harald;THW, RB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;1/1;100%
4418;Bilyk, Nikola;THW, LB;0/0;-;1/2;50%;1/1;100%;0/0;-;0/0;-;0/0;-
4419;Arnesson, Linus;BHC, LB;1/1;100%;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
4420;Babak, Tomas;BHC, CB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
4421;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4422;Dahmke, Rune;THW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4423;Damm, Sebastian;BHC, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4424;Hansson, Emil;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4425;Fraatz, Yannick;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4426;Zarabec, Miha;THW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4427;Bergner, Tom;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4428;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4429;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4430;Stutzke, Lukas;BHC, LB;0/0;-;0/1;0%;0/1;0%;0/0;-;0/0;-;0/0;-
4431;Landin Jacobsen, Magnus;THW, LW;0/0;-;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-
4432;Schiller, Marcel;FAG, LW;5/5;100%;0/0;-;0/0;-;3/3;100%;0/0;-;0/0;-
4433;Lindenchrone Andersen, Jon;FAG, RB;0/0;-;3/3;100%;5/5;100%;0/0;-;0/0;-;0/0;-
4434;Holst, Maximilian;WET, LW;7/7;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4435;Gulliksen, Kevin Maageroe;FAG, RW;0/0;-;0/0;-;0/0;-;5/7;71.43%;0/0;-;1/1;100%
4436;Cavor, Stefan;WET, RB;0/0;-;4/6;66.67%;1/2;50%;0/0;-;0/0;-;0/0;-
4437;Rubin, Lenny;WET, LB;0/0;-;0/1;0%;5/8;62.5%;0/0;-;0/0;-;0/0;-
4438;Kozina, Kresimir;FAG, P;0/0;-;0/0;-;1/1;100%;0/0;-;2/3;66.67%;0/0;-
4439;Bagersted, Jacob;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%
4440;Nyfjall, Adam;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%
4441;Ellebaek, Tobias;FAG, LB;0/0;-;2/2;100%;0/1;0%;0/0;-;0/0;-;0/0;-
4442;Heymann, Sebastian;FAG, LB;0/0;-;1/3;33.33%;0/1;0%;0/0;-;0/0;-;1/1;100%
4443;Forsell Schefvert, Olle;WET, LB;0/0;-;1/1;100%;0/3;0%;0/0;-;0/0;-;0/0;-
4444;Hermann, Till;FAG, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
4445;Neudeck, Oskar;FAG, LB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
