PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
1;Ekberg, Niclas;THW, RW;3/3;100%;0/1;0%;0/0;-;1/2;50%;0/0;-;2/2;100%
2;Sagosen, Sander;THW, CB;0/0;-;3/3;100%;3/9;33.33%;0/0;-;0/0;-;0/0;-
3;Duvnjak, Domagoj;THW, CB;0/0;-;3/4;75%;0/0;-;0/0;-;1/1;100%;0/0;-
4;Weinhold, Steffen;THW, RB;0/0;-;4/4;100%;0/1;0%;0/0;-;0/0;-;0/0;-
5;Nothdurft, Tim;HBW, LW;0/0;-;0/0;-;0/0;-;0/1;0%;2/2;100%;2/2;100%
6;Reinkind, Harald;THW, RB;0/0;-;3/4;75%;1/2;50%;0/0;-;0/0;-;0/0;-
7;Wiederstein, Fabian;HBW, P;0/0;-;0/1;0%;0/0;-;0/0;-;4/6;66.67%;0/0;-
8;Lipovina, Vladan;HBW, RB;0/0;-;1/1;100%;3/10;30%;0/0;-;0/0;-;0/0;-
9;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
10;Dahmke, Rune;THW, LW;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;2/2;100%
11;Strosack, Moritz;HBW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%
12;Heinzelmann, Tobias;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
13;Ingason, Daniel Thor;HBW, LB;0/0;-;1/2;50%;1/2;50%;0/0;-;0/0;-;0/0;-
14;Volz, Patrick;HBW, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
15;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
16;Thomann, Gregor;HBW, RW;1/1;100%;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
17;Zintel, Bjorn;HBW, CB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
18;Zarabec, Miha;THW, CB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
19;Stevanovic, Nikola;HBW, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;1/1;100%
20;Schoch, Jona;HBW, LB;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-
21;Bilyk, Nikola;THW, LB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;1/1;100%
22;Scott Junior, James;HBW, LB;0/0;-;1/1;100%;0/3;0%;0/0;-;0/0;-;0/0;-
23;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
24;Saueressig, Lukas;HBW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
25;Landin Jacobsen, Magnus;THW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
26;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
27;Huber, Elias;HBW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
28;Wiencek, Patrick;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
29;Zerbe, Lukas;TBV, RW;1/1;100%;0/0;-;0/0;-;5/5;100%;0/0;-;1/1;100%
30;Hafner, Kai;MTM, RB;0/0;-;3/4;75%;0/1;0%;0/0;-;0/0;-;1/1;100%
31;Jonsson, Elvar Orn;MTM, CB;0/0;-;2/3;66.67%;2/3;66.67%;1/1;100%;0/0;-;0/0;-
32;Guardiola Villaplana, Gedeon;TBV, P;0/0;-;1/1;100%;0/0;-;0/0;-;2/2;100%;1/1;100%
33;Elisson, Bjarki Mar;TBV, LW;1/3;33.33%;1/1;100%;0/0;-;1/2;50%;0/0;-;1/1;100%
34;Carlsbogard, Jonathan;TBV, LB;0/0;-;3/3;100%;1/4;25%;0/0;-;0/0;-;0/0;-
35;Kuhn, Julius;MTM, LB;0/0;-;1/1;100%;3/8;37.5%;0/0;-;0/0;-;0/0;-
36;Reichmann, Tobias;MTM, RW;2/2;100%;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
37;Guardiola Villaplana, Isaias;TBV, RB;0/0;-;1/1;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
38;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
39;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
40;Timm, Marcel;TBV, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%;0/0;-
41;Kastening, Timo;MTM, RW;0/1;0%;0/0;-;0/0;-;1/3;33.33%;0/0;-;1/2;50%
42;Hutecek, Lukas;TBV, LB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
43;Schagen, Bobby;TBV, RW;1/2;50%;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
44;Pavlovic, Domagoj;MTM, CB;0/0;-;0/1;0%;1/2;50%;0/0;-;0/0;-;0/0;-
45;Petersson, Alexander;MTM, RB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
46;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
47;Lemke, Finn;MTM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
48;Simak, Frederik;TBV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
49;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
50;Blaauw, Niko;TBV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
51;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
52;Kunkel, Yves;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
53;Kogut, Andrej;TBV, CB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
54;Binder, Lukas;LEI, LW;0/0;-;0/0;-;0/0;-;2/4;50%;1/1;100%;3/3;100%
55;Steinert, Christoph;HCE, RB;2/2;100%;2/2;100%;0/3;0%;0/0;-;1/1;100%;0/0;-
56;Jeppsson, Simon;HCE, LB;0/0;-;1/1;100%;3/8;37.5%;0/0;-;0/1;0%;0/0;-
57;Bissel, Christopher;HCE, LW;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%;1/1;100%
58;Olsson, Hampus;HCE, RW;1/1;100%;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%
59;Larsen, Patrick Wiesmach;LEI, RW;1/1;100%;0/0;-;0/0;-;2/2;100%;0/0;-;0/0;-
60;Witzke, Luca;LEI, CB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
61;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;1/3;33.33%;1/1;100%
62;Jotic, Lovro;LEI, CB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
63;Meyer-Siebert, Julius;LEI, LB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
64;Gebala, Maciej;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-
65;Remke, Gregor;LEI, RB;0/0;-;0/0;-;0/2;0%;0/0;-;1/1;100%;0/0;-
66;Metzner, Antonio;HCE, RB;0/0;-;1/1;100%;0/3;0%;0/0;-;0/0;-;0/0;-
67;Sellin, Johannes;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
68;Link, Nikolai;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
69;Milosevic, Alen;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
70;Mamic, Marko;LEI, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
71;Leban, Patrik;HCE, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
72;Overby, Petter;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
73;Marschall, Tarek;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
74;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
75;Budel, Nico;HCE, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
76;Ernst, Simon;LEI, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
77;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
78;Krzikalla, Lucas;LEI, RW;0/2;0%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
79;Sunnefeldt, Oskar;LEI, LB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
80;Fath, Steffen;HCE, LB;0/0;-;0/0;-;0/3;0%;0/0;-;0/0;-;0/0;-
81;Ivic, Sime;LEI, RB;0/1;0%;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
82;Mensing, Hans Aaron;SGF, LB;0/0;-;3/3;100%;4/4;100%;0/0;-;0/0;-;0/0;-
83;Svan, Lasse Hansen;SGF, RW;0/0;-;1/1;100%;0/0;-;5/6;83.33%;1/1;100%;0/0;-
84;Gottfridsson, Jim;SGF, CB;1/1;100%;3/4;75%;2/3;66.67%;0/0;-;0/0;-;0/0;-
85;Golla, Johannes;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;1/1;100%
86;Korte, Mats;GWD, LW;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-;0/1;0%
87;Larsen, Mads Mensah;SGF, CB;0/0;-;2/4;50%;2/2;100%;0/0;-;0/0;-;0/0;-
88;Urban, Tomas;GWD, RW;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
89;Pieczkowski, Niclas;GWD, CB;0/0;-;3/5;60%;0/1;0%;0/0;-;0/0;-;0/0;-
90;Meister, Lucas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
91;Darmoul, Mohamed Amine;GWD, CB;0/0;-;2/3;66.67%;0/1;0%;0/0;-;0/0;-;0/0;-
92;Jakobsen, Emil;SGF, LW;1/2;50%;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-
93;Thiele, Joshua;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
94;Hald Jensen, Simon;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
95;Grebenc, Jan;GWD, LB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
96;Zeitz, Christian;GWD, RB;0/0;-;0/1;0%;1/4;25%;0/0;-;0/0;-;0/0;-
97;Jukic, Nikola;GWD, RB;0/0;-;1/4;25%;0/1;0%;0/0;-;0/0;-;0/0;-
98;Bult, Mark;SGF, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
99;Steinhauser, Marius;SGF, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
100;Janke, Maximilian;GWD, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
101;Lindskog, Anton;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
102;Staar, Max;GWD, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
103;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
104;Oscar van Oettingen;SGF, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
105;Schluroff, Miro;GWD, LB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
106;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;0/0;-;0/3;0%;0/0;-;0/0;-
107;Schiller, Marcel;FAG, LW;4/5;80%;0/0;-;0/0;-;5/5;100%;0/0;-;2/2;100%
108;Tissier, Leif;HSV, CB;0/0;-;5/6;83.33%;2/3;66.67%;0/0;-;0/0;-;1/1;100%
109;Weller, Niklas;HSV, P;2/2;100%;0/1;0%;0/0;-;0/0;-;4/5;80%;0/0;-
110;Kozina, Kresimir;FAG, P;0/0;-;1/1;100%;0/0;-;0/0;-;3/3;100%;0/0;-
111;Heymann, Sebastian;FAG, LB;0/0;-;2/4;50%;1/2;50%;0/0;-;0/0;-;0/0;-
112;Gulliksen, Kevin Maageroe;FAG, RW;1/1;100%;0/0;-;0/0;-;3/6;50%;0/0;-;0/0;-
113;Bauer, Philipp;HSV, CB;0/0;-;2/3;66.67%;1/2;50%;0/0;-;0/0;-;0/0;-
114;Bergemann, Thies;HSV, RW;0/0;-;0/0;-;0/1;0%;3/4;75%;0/0;-;0/1;0%
115;Kneule, Tim;FAG, CB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
116;Valiullin, Azat;HSV, LB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
117;Forstbauer, Jan;HSV, RB;0/0;-;1/3;33.33%;1/3;33.33%;0/0;-;0/0;-;0/0;-
118;Bagersted, Jacob;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
119;Ellebaek, Tobias;FAG, LB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
120;Lindenchrone Andersen, Jon;FAG, RB;0/0;-;0/1;0%;0/0;-;1/1;100%;0/0;-;0/0;-
121;Andersen, Frederik Bo;HSV, RW;0/0;-;1/1;100%;0/0;-;0/2;0%;0/0;-;0/0;-
122;Mortensen, Casper Ulrich;HSV, LW;0/1;0%;0/0;-;0/0;-;1/4;25%;0/0;-;0/0;-
123;Hermann, Till;FAG, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
124;Ossenkopp, Lukas;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
125;Kleineidam, Jan;HSV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
126;Gertges, Jonas;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
127;Goller, Axel;FAG, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
128;Neudeck, Oskar;FAG, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
129;Spath, Manuel;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
130;Schimmelbauer, Tobias;HSV, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
131;Wullenweber, Finn;HSV, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
132;Smarason, Janus Dadi;FAG, CB;0/0;-;0/1;0%;0/1;0%;0/0;-;0/0;-;0/0;-
133;Magnusson, Omar Ingi;SCM, RB;3/4;75%;5/6;83.33%;0/3;0%;0/0;-;0/0;-;1/1;100%
134;Lonn, Adam;TVB, LB;0/0;-;3/3;100%;4/8;50%;0/0;-;0/0;-;0/0;-
135;Peshevski, Zarko;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;6/6;100%;0/0;-
136;Zieker, Patrick;TVB, LW;3/4;75%;0/0;-;0/0;-;1/2;50%;0/0;-;1/1;100%
137;Weber, Philipp;SCM, CB;0/0;-;2/2;100%;2/2;100%;0/0;-;0/0;-;0/0;-
138;Weiss, Dominik;TVB, LB;0/0;-;0/1;0%;4/7;57.14%;0/0;-;0/0;-;0/0;-
139;Hornke, Tim;SCM, RW;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-;0/0;-
140;Bezjak, Marko;SCM, CB;0/0;-;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-
141;Jensen, Magnus Saugstrup;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
142;Schulze, Alexander;TVB, LW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;1/1;100%
143;Mertens, Lukas;SCM, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;1/1;100%
144;Pettersson, Daniel;SCM, RW;0/0;-;0/1;0%;0/0;-;2/2;100%;0/0;-;0/0;-
145;O'Sullivan, Christian;SCM, CB;0/0;-;2/2;100%;0/1;0%;0/0;-;0/0;-;0/0;-
146;Kirsten Evert Smits, Kay;SCM, RB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;1/1;100%
147;Gullerud, Magnus;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
148;Damgaard Nielsen, Michael;SCM, LB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
149;Hanusz, Egon;TVB, CB;0/1;0%;0/1;0%;0/0;-;0/0;-;0/0;-;1/1;100%
150;Augustinussen, Sebastian;TVB, RW;0/0;-;0/1;0%;0/0;-;1/2;50%;0/0;-;0/0;-
151;Muller, Jerome;TVB, RB;0/0;-;1/1;100%;0/3;0%;0/0;-;0/0;-;0/0;-
152;Pfattheicher, Sascha;TVB, RW;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/2;0%
153;Preuss, Moritz;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
154;Chrapkowski, Piotr;SCM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
155;Kristjansson, Gisli Thorgeir;SCM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
156;Foege, Luis Plymford;TVB, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
157;Runarsson, Andri Mar;TVB, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
158;Rothlisberger, Samuel;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
159;Kohlbacher, Jannik;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;6/7;85.71%;0/0;-
160;Hansen, Johan a Plogv;HAN, RW;0/0;-;1/1;100%;0/0;-;2/5;40%;1/1;100%;1/1;100%
161;Knorr, Juri;RNL, CB;0/0;-;3/4;75%;2/4;50%;0/0;-;0/0;-;1/1;100%
162;Martinovic, Ivan;HAN, RB;0/0;-;2/2;100%;1/2;50%;0/0;-;0/0;-;0/2;0%
163;Kuzmanovski, Filip;HAN, LB;0/0;-;1/1;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
164;Gensheimer, Uwe;RNL, LW;0/0;-;0/0;-;0/1;0%;3/4;75%;0/0;-;0/0;-
165;Bohm, Fabian;HAN, LB;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-;0/0;-
166;Schmid, Andre;RNL, CB;0/0;-;1/1;100%;1/4;25%;0/0;-;0/0;-;0/0;-
167;Pevnov, Evgeni;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%
168;Brozovic, Ilija;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
169;Edvardsson, Jonathan;HAN, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/1;0%;0/0;-
170;Groetzki, Patrick;RNL, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;1/1;100%
171;Nilsson, Lukas;RNL, LB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
172;Vest Kirkelokke, Niclas;RNL, RB;0/0;-;1/3;33.33%;0/0;-;0/0;-;1/1;100%;0/0;-
173;Lagergren, Albin;RNL, RB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;1/1;100%
174;Helander, Benjamin;RNL, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
175;Ahouansou, Philipp;RNL, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
176;Hanne, Martin;HAN, LB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
177;Buchner, Vincent;HAN, LW;0/0;-;0/0;-;0/0;-;0/2;0%;1/1;100%;0/0;-
178;Patrail, Mait;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
179;Roscheck, Bastian;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
180;Feise, Hannes;HAN, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
181;Abutovic, Ilija;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
182;Gislason, Ymir Orn;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
183;Ehlers, Matteo;HAN, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
184;Horzen, Kristjan;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
185;Depping, Luc;HAN, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
186;Cehte, Nejc;HAN, RB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
187;Lindberg, Hans;BER, RW;5/5;100%;0/0;-;0/0;-;3/5;60%;1/1;100%;1/1;100%
188;Rubin, Lenny;WET, LB;0/0;-;1/2;50%;4/7;57.14%;0/0;-;0/0;-;1/1;100%
189;Vujovic, Milos;BER, LW;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-;1/2;50%
190;Cavor, Stefan;WET, RB;0/0;-;4/5;80%;1/5;20%;0/0;-;0/0;-;0/0;-
191;Andersson, Lasse Bredekjaer;BER, LB;0/0;-;0/1;0%;3/8;37.5%;0/0;-;0/0;-;2/2;100%
192;Novak, Domen;WET, RW;0/0;-;0/0;-;0/0;-;3/3;100%;0/1;0%;1/1;100%
193;Wiede, Fabian;BER, RB;0/0;-;3/4;75%;1/2;50%;0/0;-;0/0;-;0/0;-
194;Holst, Maximilian;WET, LW;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
195;Weissgerber, Lars;WET, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-
196;Mellegard, Emil;WET, LW;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-;1/1;100%
197;Holm, Jacob Tandrup;BER, CB;0/0;-;1/3;33.33%;1/2;50%;0/0;-;0/0;-;0/0;-
198;Matthes, Tim;BER, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
199;Drux, Paul;BER, LB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
200;Kopljar, Marko;BER, RB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/1;0%
201;Fredriksen, Magnus;WET, CB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
202;Nyfjall, Adam;WET, P;0/0;-;0/1;0%;0/0;-;0/0;-;1/1;100%;0/0;-
203;Forsell Schefvert, Olle;WET, LB;0/0;-;0/1;0%;1/4;25%;0/0;-;0/0;-;0/0;-
204;Mirkulovski, Filip;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
205;Gempp, Patrick;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
206;Michalczik, Marian;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
207;Marsenic, Mijajlo;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
208;Chrintz, Valter;BER, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
209;Srsen, Ivan;WET, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
210;Lichtlein, Nils;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
211;Langhoff, Matthes;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
212;Danner, Felix;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
213;Koch, Johan;BER, P;0/0;-;0/1;0%;0/0;-;0/0;-;0/1;0%;0/0;-
214;Gutbrod, Fabian;BHC, LB;0/0;-;1/1;100%;6/10;60%;0/0;-;0/0;-;0/0;-
215;Skroblien, Tom;NLB, LW;0/1;0%;0/0;-;0/0;-;2/2;100%;1/1;100%;2/2;100%
216;Kontrec, Tin;NLB, P;0/0;-;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-
217;Boomhouwer, Jeffrey;BHC, LW;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%;1/1;100%
218;Mrakovcic, Luka;NLB, CB;0/0;-;1/1;100%;2/2;100%;0/0;-;0/0;-;0/0;-
219;Strosack, Peter;NLB, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;1/1;100%;0/0;-
220;Gunnarsson, Arnor Thor;BHC, RW;0/2;0%;1/1;100%;0/0;-;2/2;100%;0/0;-;0/0;-
221;Schmidt, David;BHC, RB;0/0;-;0/0;-;3/11;27.27%;0/0;-;0/0;-;0/0;-
222;Nikolaisen Svegard, Tom Kare;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%
223;Babak, Tomas;BHC, CB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
224;Petreikis, Benas;NLB, CB;0/0;-;2/4;50%;0/3;0%;0/0;-;0/0;-;0/0;-
225;Drager, Yannick;NLB, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
226;Arnesson, Linus;BHC, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
227;Schonningsen, Simen Nicolay;BHC, RB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
228;Heiny, Lutz;NLB, LB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
229;Darj, Max;BHC, P;0/0;-;0/1;0%;0/0;-;0/0;-;1/1;100%;0/0;-
230;Weck, Alexander;BHC, LB;0/0;-;0/0;-;1/4;25%;0/0;-;0/0;-;0/0;-
231;Baumgartner, Florian;NLB, RB;0/0;-;0/0;-;1/6;16.67%;0/0;-;0/0;-;0/0;-
232;Szucs, Csaba;BHC, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
233;Damm, Sebastian;BHC, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
234;Hansson, Emil;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
235;Stutzke, Lukas;BHC, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
236;Speckmann, Jan-Eric;NLB, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
237;Mundus, Marvin;NLB, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
238;Nissen, Marek;NLB, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
239;Petrovsky, Leos;NLB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
240;Ebner, Dominik;NLB, RB;0/0;-;0/1;0%;0/2;0%;0/0;-;0/0;-;0/0;-
241;Jeppsson, Simon;HCE, LB;0/0;-;3/5;60%;6/10;60%;0/0;-;0/0;-;0/0;-
242;Wanne, Hampus;SGF, LW;5/5;100%;0/1;0%;0/0;-;3/3;100%;0/1;0%;0/1;0%
