PL;Player Name;Team;Team Position;7M Goal;7M Shot;7MACC;6M Goal;6M Shot;6MACC;9M Goal;9M Shot;9MACC;Wing Goal;Wing Shot;WINGACC;Pivot Goal;Pivot Shot;PIVOTACC;Fastbreak Goal;Fastbreak Shot;FASTBREAKACC;Total Goal;Total Shot
37;Guardiola Villaplana, Isaias;TBV;RB;0;0;0,00;1;1;1,00;2;3;0,67;0;0;0,00;0;0;0,00;0;0;0,00;3;4
38;Arnarsson, Arnar Freyr;MTM;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;3;5;0,60;0;0;0,00;3;5
39;Maric, Marino;MTM;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;2;2;1,00;0;0;0,00;2;2
40;Timm, Marcel;TBV;P;0;0;0,00;1;1;1,00;0;0;0,00;0;0;0,00;1;1;1,00;0;0;0,00;2;2
41;Kastening, Timo;MTM;RW;0;1;0,00;0;0;0,00;0;0;0,00;1;3;0,33;0;0;0,00;1;2;0,50;2;6
42;Hutecek, Lukas;TBV;LB;0;0;0,00;1;1;1,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1
43;Schagen, Bobby;TBV;RW;1;2;0,50;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;0;0;0,00;1;3
44;Pavlovic, Domagoj;MTM;CB;0;0;0,00;0;1;0,00;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;1;3
45;Petersson, Alexander;MTM;RB;0;0;0,00;1;2;0,50;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;4
46;Allendorf, Michael;MTM;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
47;Lemke, Finn;MTM;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
48;Simak, Frederik;TBV;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
49;Reitemann, Michel;TBV;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
50;Blaauw, Niko;TBV;CB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
51;Schwarzer, Kian;TBV;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
52;Kunkel, Yves;MTM;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0,00;0;1
53;Kogut, Andrej;TBV;CB;0;0;0,00;0;0;0,00;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;2
54;Binder, Lukas;LEI;LW;0;0;0,00;0;0;0,00;0;0;0,00;2;4;0,50;1;1;1,00;3;3;1,00;6;8
55;Steinert, Christoph;HCE;RB;2;2;1,00;2;2;1,00;0;3;0,00;0;0;0,00;1;1;1,00;0;0;0,00;5;8
56;Jeppsson, Simon;HCE;LB;0;0;0,00;1;1;1,00;3;8;0,38;0;0;0,00;0;1;0,00;0;0;0,00;4;10
57;Bissel, Christopher;HCE;LW;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;1;1;1,00;1;1;1,00;3;3
58;Olsson, Hampus;HCE;RW;1;1;1,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;1;1;1,00;3;3
59;Larsen, Patrick Wiesmach;LEI;RW;1;1;1,00;0;0;0,00;0;0;0,00;2;2;1,00;0;0;0,00;0;0;0,00;3;3
60;Witzke, Luca;LEI;CB;0;0;0,00;1;1;1,00;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;2;3
61;Firnhaber, Sebastian;HCE;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;3;0,33;1;1;1,00;2;4
62;Jotic, Lovro;LEI;CB;0;0;0,00;0;0;0,00;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;1;2
63;Meyer-Siebert, Julius;LEI;LB;0;0;0,00;0;0;0,00;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;1;2
64;Gebala, Maciej;LEI;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;3;0,33;0;0;0,00;1;3
65;Remke, Gregor;LEI;RB;0;0;0,00;0;0;0,00;0;2;0,00;0;0;0,00;1;1;1,00;0;0;0,00;1;3
66;Metzner, Antonio;HCE;RB;0;0;0,00;1;1;1,00;0;3;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;4
67;Sellin, Johannes;HCE;RW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
68;Link, Nikolai;HCE;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
69;Milosevic, Alen;LEI;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
70;Mamic, Marko;LEI;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
71;Leban, Patrik;HCE;CB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
72;Overby, Petter;HCE;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
73;Marschall, Tarek;HCE;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
74;Esche, Marc;LEI;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
75;Budel, Nico;HCE;CB;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;1
76;Ernst, Simon;LEI;CB;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;1
77;Zechel, Tim;HCE;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;0;1
78;Krzikalla, Lucas;LEI;RW;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;2
79;Sunnefeldt, Oskar;LEI;LB;0;0;0,00;0;0;0,00;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;2
80;Fath, Steffen;HCE;LB;0;0;0,00;0;0;0,00;0;3;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;3
81;Ivic, Sime;LEI;RB;0;1;0,00;0;0;0,00;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;3
82;Mensing, Hans Aaron;SGF;LB;0;0;0,00;3;3;1,00;4;4;1,00;0;0;0,00;0;0;0,00;0;0;0,00;7;7
83;Svan, Lasse Hansen;SGF;RW;0;0;0,00;1;1;1,00;0;0;0,00;5;6;0,83;1;1;1,00;0;0;0,00;7;8
84;Gottfridsson, Jim;SGF;CB;1;1;1,00;3;4;0,75;2;3;0,67;0;0;0,00;0;0;0,00;0;0;0,00;6;8
