MatchId;Player Name;Team;Position;7M Save;7M Save Accuracy;6M Save;6M Save Accuracy;9M Save;9M Save Accuracy;Wing Save;Wing Save Accuracy;Pivot Save;Pivot Save Accuracy;Fastbreak Save;Fastbreak Save Accuracy
17;Rudeck Christopher;BHC;GK;10;0,25;10;0,25;20;0,4;10;0,2;30;3,75;0;0
17;Mrkva Tomas;BHC;GK;0;0;0;0;10;0,2;0;0;10;1;0;0
17;Vortmann Jens;HSV;GK;0;0;0;0;10;0,25;0;0;0;0;0;0
18;Ebner Domenico;HAN;GK;0;0;0;0;70;63,64;20;66,67;0;0;0;0
18;Thulin Tobias;TVB;GK;10;1;0;0;50;0,5;20;0,5;0;0;0;0
18;Lesjak Urban;HAN;GK;0;0;0;0;10;33,33;10;33,33;0;0;0;0
18;Pesic Ivan;TVB;GK;0;0;20;0,25;0;0;0;0;0;0;0;0
19;Suljakovic Anadin;WET;GK;0;0;30;0,3;20;66,67;30;0,6;0;0;0;0
19;Green Krejberg Jannick;SCM;GK;0;0;30;33,33;10;0,5;10;0,2;0;0;0;0
19;Klimpke Till;WET;GK;10;0,5;20;33,33;0;0;0;0;0;0;0;0
19;Jensen Mike;SCM;GK;20;0,5;0;0;0;0;0;0;0;0;0;0
20;Milosavljev Dejan;BER;GK;0;0;20;0,2;60;0,75;30;0,5;20;33,33;0;0
20;Heinevetter Silvio;MTM;GK;10;0,5;0;0;10;33,33;0;0;0;0;10;0,25
20;Simic Nebojsa;MTM;GK;0;0;0;0;20;0,4;0;0;0;0;10;0,2
20;Genz Fredrik;BER;GK;0;0;0;0;0;0;0;0;0;0;0;0
21;Johannesson Peter;TBV;GK;0;0;50;45,45;20;0,25;20;66,67;10;16,67;10;0,2
21;Birlehm Joel;LEI;GK;10;0,5;10;0,25;10;33,33;0;0;10;0,25;0;0
21;Saeveraas Kristian Skinstad;LEI;GK;0;0;0;0;20;33,33;0;0;0;0;10;1
21;Zecher Finn;TBV;GK;0;0;0;0;0;0;0;0;0;0;0;0
22;Rebmann Daniel;FAG;GK;10;1;10;1,25;40;44,44;40;57,14;10;0,2;20;66,67
22;Prost Primoz;TVB;GK;0;0;0;0;30;3,75;40;57,14;10;33,33;0;0
22;Kastelic Urh;FAG;GK;0;0;10;0,5;20;33,33;10;1;0;0;10;0,5
22;Thulin Tobias;TVB;GK;0;0;0;0;0;0;10;1;0;0;0;0
23;Ferlin Klemen;HCE;GK;0;0;50;45,45;60;42,86;0;0;30;0,75;0;0
23;Lichtlein Carsten;GWD;GK;0;0;20;0,5;50;45,45;10;0,25;10;0,2;0;0
23;Semisch Malte;GWD;GK;0;0;0;0;10;0,25;0;0;0;0;0;0
23;Ziemer Martin;HCE;GK;0;0;0;0;0;0;0;0;0;0;0;0
24;M?ller Kevin;SGF;GK;0;0;40;0,4;50;41,67;10;33,33;10;33,33;10;14,29
24;Landin Jacobsen Niklas;THW;GK;0;0;20;0,2;60;0,5;10;0,5;10;0,25;10;0,5
24;Buric Benjamin;SGF;GK;0;0;0;0;0;0;10;0,5;0;0;0;0
24;Quenstedt Dario;THW;GK;0;0;0;0;0;0;0;0;0;0;0;0
25;Rudeck Christopher;BHC;GK;20;66,67;90;47,37;10;16,67;0;0;0;0;10;0,2
25;Ebner Domenico;HAN;GK;10;0,5;60;46,15;20;0,25;20;0,5;10;0,2;10;1
25;Mrkva Tomas;BHC;GK;0;0;0;0;0;0;0;0;0;0;0;0
25;Lesjak Urban;HAN;GK;0;0;0;0;0;0;0;0;0;0;0;0
26;Rezar Aljosa;NLB;GK;20;0,4;10;33,33;60;0,4;30;33,33;0;0;0;0
26;Sejr Jensen Simon;HBW;GK;0;0;10;0,25;40;44,44;10;0,5;0;0;0;0
26;Ruminsky Mario;HBW;GK;10;33,33;0;0;20;33,33;0;0;0;0;0;0
26;Asheim Havard;NLB;GK;0;0;0;0;0;0;0;0;0;0;0;0
27;Bitter Johannes;HSV;GK;20;0,4;30;21,43;70;0,7;30;0,6;20;33,33;0;0
27;Palicka Andreas;RNL;GK;0;0;30;33,33;30;3,75;10;0,5;0;0;0;0
27;Spath David;RNL;GK;0;0;20;0,4;10;0,2;20;33,33;0;0;0;0
27;Vortmann Jens;HSV;GK;0;0;0;0;0;0;0;0;0;0;0;0
27;Bitter Johannes;HSV;GK;0;0;30;42,86;30;33,33;0;0;0;0;10;33,33
28;Birlehm Joel;LEI;GK;10;1;40;0,5;10;33,33;0;0;0;0;0;0
28;Saeveraas Kristian Skinstad;LEI;GK;10;33,33;0;0;0;0;0;0;10;0,5;0;0
28;Vortmann Jens;HSV;GK;0;0;0;0;0;0;10;1;0;0;0;0
29;Mrkva Tomas;BHC;GK;0;0;20;28,57;10;1;0;0;10;0,5;10;0,5
29;Prost Primoz;TVB;GK;10;0,5;10;14,29;30;42,86;0;0;0;0;0;0
29;Rudeck Christopher;BHC;GK;10;0,5;10;0,2;10;16,67;0;0;0;0;0;0
29;Thulin Tobias;TVB;GK;0;0;0;0;10;33,33;10;0,25;10;1;0;0
30;Milosavljev Dejan;BER;GK;30;0,75;30;23,08;50;45,45;0;0;0;0;0;0
30;Lichtlein Carsten;GWD;GK;0;0;20;0,2;10;0,2;30;3,75;0;0;10;0,25
30;Genz Fredrik;BER;GK;0;0;0;0;0;0;0;0;0;0;0;0
31;Jensen Mike;SCM;GK;0;0;0;0;30;0,5;30;0,5;30;0,6;0;0
31;Ruminsky Mario;HBW;GK;0;0;10;33,33;0;0;30;0,5;0;0;0;0
31;Sejr Jensen Simon;HBW;GK;0;0;0;0;20;0,5;0;0;0;0;0;0
31;Green Krejberg Jannick;SCM;GK;0;0;10;1;0;0;0;0;0;0;0;0
32;Landin Jacobsen Niklas;THW;GK;10;33,33;10;0,25;60;42,86;10;0,5;10;0,25;10;0,25
32;Ferlin Klemen;HCE;GK;10;0,5;0;0;30;3,75;0;0;10;0,2;0;0
32;Ziemer Martin;HCE;GK;0;0;0;0;10;0,5;0;0;10;0,5;0;0
32;Quenstedt Dario;THW;GK;0;0;0;0;0;0;0;0;0;0;0;0
33;Rebmann Daniel;FAG;GK;0;0;60;35,29;0;0;0;0;20;33,33;0;0
33;Palicka Andreas;RNL;GK;0;0;20;18,18;20;0,4;0;0;20;0,4;0;0
33;Kastelic Urh;FAG;GK;0;0;0;0;0;0;0;0;0;0;10;0,5
33;Spath David;RNL;GK;0;0;0;0;0;0;0;0;0;0;0;0
34;Rezar Aljosa;NLB;GK;0;0;30;33,33;50;0,5;20;0,25;10;33,33;0;0
34;Heinevetter Silvio;MTM;GK;10;0,5;10;1;30;0,25;10;1;10;33,33;0;0
34;Simic Nebojsa;MTM;GK;0;0;0;0;30;0,6;10;0,5;0;0;0;0
34;Asheim Havard;NLB;GK;0;0;0;0;0;0;0;0;0;0;0;0
35;Klimpke Till;WET;GK;30;1;40;30,77;40;0,8;40;0,8;0;0;0;0
35;Lesjak Urban;HAN;GK;0;0;10;0,2;10;0,2;0;0;10;16,67;0;0
35;Ebner Domenico;HAN;GK;0;0;10;16,67;0;0;0;0;0;0;0;0
35;Suljakovic Anadin;WET;GK;0;0;0;0;0;0;0;0;0;0;0;0
36;Saeveraas Kristian Skinstad;LEI;GK;0;0;50;31,25;30;1;0;0;0;0;0;0
36;Green Krejberg Jannick;SCM;GK;0;0;20;22,22;20;0,5;20;33,33;0;0;0;0
36;Birlehm Joel;LEI;GK;40;66,67;0;0;0;0;0;0;0;0;0;0
36;Jensen Mike;SCM;GK;0;0;0;0;10;0,5;10;0,5;0;0;0;0
37;Johannesson Peter;TBV;GK;0;0;40;30,77;70;0,7;10;0,25;0;0;0;0
37;Sejr Jensen Simon;HBW;GK;20;66,67;10;11,11;10;33,33;10;0,5;0;0;0;0
37;Ruminsky Mario;HBW;GK;0;0;0;0;10;0,2;0;0;10;0,2;0;0
