7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;SHOT;GOAL
2;0.5;0;0;0;0;3;0.67;0;0;1;1;6;4
0;0;0;0;0;0;2;1;0;0;0;0;2;2
3;1;0;0;0;0;1;0;1;1;1;1;6;5
0;0;1;1;0;0;3;0.67;0;0;0;0;4;3
2;1;0;0;0;0;0;0;0;0;0;0;2;2
0;0;0;0;0;0;0;0;0;0;1;1;1;1
9;1;0;0;0;0;4;0.75;0;0;2;0.5;15;13
1;1;0;0;0;0;5;0.6;0;0;0;0;6;4
0;0;0;0;0;0;2;1;0;0;0;0;2;2
1;1;0;0;1;0;1;1;1;0;0;0;4;2
0;0;0;0;0;0;4;0.25;1;1;1;1;6;3
0;0;0;0;0;0;2;0.5;1;0;0;0;3;1
0;0;0;0;0;0;4;1;0;0;0;0;4;4
0;0;0;0;0;0;2;1;0;0;0;0;2;2
0;0;1;1;0;0;4;0.75;0;0;3;1;8;7
0;0;0;0;0;0;1;1;0;0;1;1;2;2
7;0.86;0;0;1;1;5;0.6;0;0;2;0.5;15;11
5;0.8;0;0;0;0;0;0;0;0;0;0;5;4
0;0;0;0;0;0;2;1;1;1;1;0;4;3
0;0;0;0;0;0;1;0;0;0;1;1;2;1
0;0;1;1;0;0;4;1;0;0;1;1;6;6
5;0.8;0;0;0;0;6;0.5;0;0;3;1;14;10
5;0.6;0;0;0;0;0;0;0;0;0;0;5;3
0;0;0;0;0;0;2;0;0;0;1;1;3;1
0;0;0;0;0;0;4;1;1;1;0;0;5;5
0;0;0;0;0;0;3;0.33;1;1;2;1;6;4
7;1;0;0;0;0;1;0;1;1;0;0;9;8
0;0;0;0;0;0;1;1;0;0;1;1;2;2
0;0;0;0;0;0;1;0;0;0;1;0;2;0
4;1;1;1;1;0;9;0.89;1;0;1;1;17;14
0;0;0;0;0;0;5;0.6;0;0;0;0;5;3
0;0;0;0;0;0;2;1;0;0;1;1;3;3
1;1;0;0;0;0;0;0;0;0;0;0;1;1
0;0;0;0;0;0;1;1;1;0;0;0;2;1
2;1;0;0;0;0;6;0.83;0;0;1;1;9;8
2;0.5;0;0;1;1;2;1;0;0;2;1;7;6
